100,Dream,Autograf,Dream
101,Isabella of Castile,STRFKR,Starfucker
102,Girls Just Want to Have Fun,STRFKR,Jupiter (2012)
103,A Fax From The Beach,Classixx,Hanging Gardens
104,Pitch Black - Piecey Remix,"Mazde, LissA, Piecey",Pitch Black (Piecey Remix)
105,Day Two,Lemaitre,1749
106,Fences - 25 Hrs a Day Remix,Phoenix,Wolfgang Amadeus Phoenix (Remix Collection)
107,Long Distance Call,Phoenix,It's Never Been Like That (Deluxe Version)
108,Lisztomania,Phoenix,Wolfgang Amadeus Phoenix
109,Silhouette,Goldroom,West Of The West
110,Falling (Whethan Redo) [feat  Whethan],"Opia, Whethan",Falling (Whethan Redo) [feat  Whethan]
111,Open Your Eyes,STRFKR,Open Your Eyes
112,Back to You,Kolidescopes,Back to You - Single
113,My New Friend,Carousel,My New Friend
114,Ho Hey,The Lumineers,The Lumineers
115,It's Strange,"Louis The Child, K Flay",It's Strange
116,Insane,"Flume, Moon Holiday",Flume Deluxe Edition
117,Lonely Lullabies,Kweku Collins,"Say It Here, While It's Safe"
118,Repeating Motion,"RAC, Karl Kling",Strangers
119,Simple Song,The Shins,Port Of Morrow
120,Ghost,VHS Collection,Stereo Hype
121,Doses And Mimosas,Cherub,Year of the Caprese
122,Atlas - Douchka Remix,"Les Gordon, Douchka",Atlas (Remixes) - EP
123,Never Gonna Take You Back,Satchmode,Never Gonna Take You Back
124,"Cant Let Go, Juno",Kishi Bashi,"Cant Let Go, Juno"
125,Life Itself,Glass Animals,Life Itself
126,Wild Horses,Bishop Briggs,Wild Horses
127,Seventeen,"RAC, Pink Feathers",Strangers
128,Quality Time,STRFKR,Reptilians
129,Atlantis,STRFKR,Miracle Mile
130,Crave You,"Flight Facilities, Giselle",Down To Earth
131,Don't Fight It,Behaviors,Behaviors
132,Show Your Colors (PLSAndTY Remix),"Genevieve, PLSAndTY",Show Your Colors (PLSAndTY Remix)
133,Fade,Alan Walker,Fade
134,Lessons - Falcon Punch Remix,Holy Models,Lessons
135,Under Cover of Darkness,The Strokes,Angles
136,Moonwalk Away,GoldFish,Three Second Memory (Deluxe)
137,Dissolve,Hibou,Hibou
138,Shaky Ground,Freedom Fry,Shaky Ground
139,6am,Fitz and The Tantrums,More Than Just A Dream
140,Midnight City,M83,"Hurry up, We're Dreaming"
141,Tape Machine,STRFKR,Tape Machine
142,Ryat,ATTLAS,Ryat
143,Far Away,isle&fever,Far Away
144,Clark Gable,The Postal Service,Give Up
145,Rawnald Gregory Erickson the Second,STRFKR,Starfucker
146,One Girl / One Boy,!!!,Thr!!!er
147,High Love,Dim Sum,High Love - EP
148,Time to Pretend,MGMT,Oracular Spectacular
149,My Girls,Animal Collective,Merriweather Post Pavilion
150,Stars,Future Generations,Stars
151,Metaphysical,"Autograf, Janelle Kroll",Metaphysical
152,Slow Down,Poolside,Pacific Standard Time
153,Ophelia,The Lumineers,Ophelia
154,Holidays (feat  Alan Palomo),"Miami Horror, Alan Palomo",Illumination
155,Feel Safe,All We Are,All We Are
156,NoLo,Grace Mitchell,Raceday
157,40 Watt,ELEL,40 Watt
158,Takin' Over - Original Mix,Long Beach City Kids,Poolside Mexico
159,My Way,Calvin Harris,My Way
160,309,Noirre,Nite Tales
161,Find An Answer,Future Generations,Future Generations
